Process Instance.Task Information.Creation Date,Objects.Name,Process Instance.Task Details.Key,Process Definition.Tasks.Task Name,Process Instance.Task Information.Target User
2024-01-04T14:51:04.000,AAccount,622485,Update Number,qquserid
2024-01-03T14:51:04.000,AAccount,622484,Update Number,aauserid
2024-01-04T14:51:04.000,AAccount,622485,Update Number,qquserid
2024-01-03T14:51:04.000,AAccount,622484,Update Number,aauserid
2024-01-04T14:51:04.000,AAccount,622485,Update Number,qquserid
2024-01-03T14:51:04.000,AAccount,622484,Update Number,aauserid
2024-01-04T14:51:04.000,AAccount,622485,Update Number,qquserid
2024-01-03T14:51:04.000,AAccount,622484,Update Number,aauserid
2024-01-04T14:51:04.000,AAccount,622485,Update Number,qquserid
2024-01-03T14:51:04.000,AAccount,622484,Update Number,aauserid
2024-01-04T14:51:04.000,AAccount,622485,Update Number,qquserid
2024-01-03T14:51:04.000,AAccount,622484,Update Number,aauserid
2024-01-04T14:51:04.000,AAccount,622485,Update Number,qquserid
2024-01-04T14:51:04.000,AAccount,622485,Update Number,qquserid
2024-01-03T14:51:04.000,AAccount,622484,Update Number,aauserid
2024-01-04T14:51:04.000,AAccount,622485,Update Number,qquserid
2024-01-03T14:51:04.000,AAccount,622484,Update Number,aauserid
2024-01-04T14:51:04.000,AAccount,622485,Update Number,qquserid
2024-01-03T14:51:04.000,AAccount,622484,Update Number,aauserid
2024-01-04T14:51:04.000,AAccount,622485,Update Number,qquserid
2024-01-03T14:51:04.000,AAccount,622484,Update Number,aauserid
2024-01-04T14:51:04.000,AAccount,622485,Update Number,qquserid
2024-01-03T14:51:04.000,AAccount,622484,Update Number,aauserid
2024-01-04T14:51:04.000,AAccount,622485,Update Number,qquserid
2024-01-03T14:51:04.000,AAccount,622484,Update Number,aauserid
2024-01-04T14:51:04.000,AAccount,622485,Update Number,qquserid
2024-01-03T14:51:04.000,AAccount,622484,Update Number,aauserid
2024-01-04T14:51:04.000,AAccount,622485,Update Number,qquserid
